Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1",".net","310638","3624959","3607476","",""
"2","html","1087765","3673183","3673182","",""
"3","javascript","2262606","3624960","3607052","",""
"4","css","729965","3644670","3644669","",""
"5","php","1412851","3624936","3607050","",""
"8","c","363734","3624961","3607013","",""
"9","c#","1494925","3624962","3607007","",""
"10","c++","735472","3624963","3606997","",""
"12","ruby","220716","3624964","3607043","",""
"14","lisp","6592","3656743","3656742","",""
"16","python","1785256","3624965","3607014","",""
"17","java","1795322","3624966","3607018","",""
"18","regex","243383","3624967","3607017","",""
"19","xml","203829","3624968","3607588","",""
"21","mysql","630745","3624969","3607033","",""
"22","sql","602460","3625226","3607304","",""
"23","tsql","68056","4777787","4777786","",""
"26","j#","62","8355939","8355938","",""
"27","browser","24958","5388160","5388159","",""
"28","linq","81939","4890031","4890030","",""
"30","database","180536","4973766","4973765","",""
"33","language-agnostic","8177","5197182","5197181","",""
"34","unix","45500","4957075","4957074","",""
"35","sockets","62850","5253586","5253585","",""
"38","apache-flex","24077","3625227","3608598","",""
"41","vb.net","134962","3625228","3607042","",""
"44","structuremap","1727","5007962","5007961","",""
"46","alt.net","9","25220551","25220550","",""
"48","architecture","15875","4083816","4083815","",""
"49","forms","107623","5602245","5602244","",""
"52","aptana","1778","5726271","5726270","",""
"53","eclipse","122621","3625229","3607482","",""
"55","subclipse","702","5488734","5488733","",""
"57","air","7830","4913302","4913301","",""
"58","linux","207816","3625112","3607012","",""
"61","memory","33268","5009628","5009627","",""
"63","svn","26520","3696944","3696943","",""
"64","windows","151931","3625230","3609881","",""
"65","sitemap","1942","5146483","5146482","",""
"66","navigation","13089","9678906","9678905","",""
"67","membership","951","9956567","9956566","",""
"71","theory","1721","18267058","18267057","",""
"72","sql-server","308224","3625231","3607030","",""
"73","csv","79089","4913959","4913958","",""
"75","sysadmin","580","8582713","8582712","",""
"76","compression","8456","6110824","6110823","",""
"80","apache","89712","4979625","4979624","",""
"81","versioning","2921","6352292","6352291","",""
"82","media","3293","12858677","12858676","",""
"83","embed","4541","7538285","7538284","",""
"87","printing","21731","6077509","6077508","",""
"88","youtube","15163","5304815","5304814","",""
"90","pdf","46788","4541006","4541005","",""
"95","convention","362","22836385","22836384","",""
"96","asp.net","364352","3625232","3607037","",""
"97","migration","9765","7982742","7982741","",""
"99","filesystems","8858","5378877","5378876","",""
"100","stack-overflow","3900","5796105","5796104","",""
"102","hardware","2821","5108397","5108396","",""
"105","hdd","22","13419617","13419616","",""
"110","ide","10382","4915532","4915531","",""
"114","arrays","371147","4969094","4969093","",""
"115","tags","10733","6575746","6575745","",""
"116","cloud","8146","4112372","4112371","",""
"117","mailto","1052","10293284","10293283","",""
"118","delphi","48449","3625233","3607016","",""
"119","git","135967","3625234","3607047","",""
"121","sqlite","89124","3625235","3607650","",""
"125","compiler-construction","11225","3625236","3607487","",""
"126","x11","3084","6053748","6053747","",""
"127","gtk","7882","5125644","5125643","",""
"129","opengl","36492","4058612","4058611","",""
"131","collaboration","502","11751342","11751341","",""
"134","sorting","68971","5009631","5009630","",""
"136","security","53195","3625053","3612218","",""
"137","oop","56798","4913607","4913606","",""
"139","string","167624","4887591","4887590","",""
"142","ant","15256","3625237","3607490","",""
"143","phing","383","4886597","4886596","",""
"146","email","56592","5483666","5483665","",""
"148","generics","44471","4890360","4890359","",""
"152","lucene","11686","3625238","3607502","",""
"153","vb6","10452","3625239","3607228","",""
"154","iphone","221171","3625240","3607496","",""
"162","com","11821","4377329","4377328","",""
"169","openid","3489","4903934","4903933","",""
"171","photoshop","2356","5516368","5516367","",""
"173","data-binding","22563","5253639","5253638","",""
"176","beta","636","12471310","12471309","",""
"178","crash","12436","6967482","6967481","",""
"183","authentication","51468","5253712","5253711","",""
"186","testing","44120","4922785","4922784","",""
"189","trust","185","11291048","11291047","",""
"190","deployment","22906","5047602","5047601","",""
"194","oracle","136319","3625242","3607031","",""
"197","random","31705","6855850","6855849","",""
"198","nt","52","","","",""
"201","api","93622","4924743","4924742","",""
"205","puzzle","810","8268485","8268484","",""
"210","metacity","9","25220570","25220569","",""
"211","compiz","39","","","",""
"215","iis","36461","4890022","4890021","",""
"218","directory","17957","5840336","5840335","",""
"219","encryption","34284","5214024","5214023","",""
"220","passwords","10046","7065765","7065764","",""
"227","iteration","9426","8364364","8364363","",""
"228","peripherals","81","","","",""
"231","db2","11572","5099503","5099502","",""
"236","embedded","9268","3625244","3607299","",""
"238","oledb","4252","5146993","5146992","",""
"239","provider","1380","15623639","15623638","",""
"240","legacy","764","11277949","11277948","",""
"241","gis","5534","4854756","4854755","",""
"242","mapping","8456","8328440","8328439","",""
"243","django","273902","3625245","3607538","",""
"245","format","11466","8058534","8058533","",""
"246","title-case","85","17661971","17661970","",""
"247","reflection","23617","5329327","5329326","",""
"248","algorithm","109439","3625246","3620111","",""
"250","simulation","4208","7161885","7161884","",""
"251","poker","442","5399042","5399041","",""
"253","globalization","1409","7335990","7335989","",""
"256","postgresql","141973","3625247","3607532","",""
"259","math","39360","5104883","5104882","",""
"261","ftp","13808","5094700","5094699","",""
"263","registry","6848","6564182","6564181","",""
"264","cruisecontrol.net","1382","5146958","5146957","",""
"265","msbuild","14019","3626874","3626873","",""
"267","keyboard","11824","5449445","5449444","",""
"268","colemak","13","12367861","12367860","",""
"269","qwerty","40","14718469","14718468","",""
"270","dvorak","57","8541083","8541082","",""
"271","documentation","4197","5120459","5120458","",""
"272","xslt","36165","3625248","3609260","",""
"273","sandcastle","297","5955054","5955053","",""
"276","variables","49651","5151905","5151904","",""
"277","debugging","47989","4985314","4985313","",""
"279","unicode","23652","3625249","3607542","",""
"281","connection","9538","8907048","8907047","",""
"282","irc","1096","6959209","6959208","",""
"283","social","912","12248958","12248957","",""
"284",".net-1.1","373","13154871","13154870","",""
"290","twitter","24287","4924829","4924828","",""
"291","yahoo","1064","6626298","6626297","",""
"292","cookies","32496","4926401","4926400","",""
"293","vi","1994","5310904","5310903","",""
"294","ip","8808","7743351","7743350","",""
"295","country","429","","","",""
"296","lookup","3101","15817463","15817462","",""
"299","flash","35169","3659514","3659513","",""
"305","floating-point","13623","5723344","5723343","",""
"306","precision","3947","12071700","12071699","",""
"308","directx","5593","5304735","5304734","",""
"309","3d","15799","6552230","6552229","",""
"311","heap","3530","8087152","8087151","",""
"312","purify","30","","","",""
"314","size","6701","8745322","8745321","",""
"316","ocr","5308","6514707","6514706","",""
"317","indexing","30401","5084724","5084723","",""
"318","article","354","21794781","21794780","",""
"319","chm","501","3625251","3607541","",""
"321","malloc","8296","5277059","5277058","",""
"324","subdomain","5606","5186409","5186408","",""
"325","dns","16366","5286156","5286155","",""
"328","account","1181","16594889","16594888","",""
"329","viewstate","1582","6111181","6111180","",""
"330","safari","16611","5423429","5423428","",""
"334","csla","216","5332655","5332654","",""
"335","cvs","1514","4998437","4998436","",""
"339","meta","1549","10387735","10387734","",""
"341","xss","4236","4903911","4903910","",""
"342","queue","10129","5780003","5780002","",""
"343","collections","22502","5756317","5756316","",""
"344","nant","1045","3624971","3624970","",""
"345","io","16575","5055064","5055063","",""
"346","curses","901","8674918","8674917","",""
"347","rockbox","5","14662652","14662651","",""
"348","audio","33891","6072221","6072220","",""
"350","gtd","24","5108381","5108380","",""
"351","subsonic","1198","5565591","5565590","",""
"352","nhibernate","17454","3624972","3607611","",""
"353","parallel-processing","19047","8337937","8337936","",""
"355","validation","63043","5114527","5114526","",""
"357","xampp","11808","5722600","5722599","",""
"359","permissions","16055","5488863","5488862","",""
"360","parameters","19829","6477436","6477435","",""
"361","methods","28167","6016074","6016073","",""
"363","ajax","216984","3877045","3877044","",""
"364","rest","83991","3624973","3607594","",""
"365","url","41089","5147326","5147325","",""
"366","address-bar","198","13318988","13318987","",""
"367","syntax","19971","5643521","5643520","",""
"368","binary","13527","5329456","5329455","",""
"369","macos","108682","4979532","4979531","",""
"370","vim","26948","3624974","3607606","",""
"371","emacs","17228","3629398","3629397","",""
"373","favicon","1638","5267987","5267986","",""
"375","polymorphism","9485","5689310","5689309","",""
"376","silverlight","27351","4171248","4171247","",""
"378","wpf","162611","3624975","3607561","",""
"379","error-handling","23293","5506485","5506484","",""
"382","wordpress","179112","3897620","3897619","",""
"386","ssh","26869","5953885","5953884","",""
"387","bash","137700","5094497","5094496","",""
"390","shell","84004","4958351","4958350","",""
"391","terminal","21232","5094651","5094650","",""
"392","apple-touch-icon","76","14979993","14979992","",""
"393","usb","7565","4974852","4974851","",""
"394","xfdl","9","18903095","18903094","",""
"398","podcast","241","5592409","5592408","",""
"402","statistics","14205","5419904","5419903","",""
"403","profile","1692","7837221","7837220","",""
"405","lingo","50","8220571","8220570","",""
"406","shockwave","82","7246063","7246062","",""
"407","application-integration","10","","","",""
"418","free","2324","5654936","5654935","",""
"419","planning","114","10463243","10463242","",""
"421","environment","2431","8662792","8662791","",""
"422","workspace","1068","9422829","9422828","",""
"423","mouse","4240","5552080","5552079","",""
"426","processing","6267","4424429","4424428","",""
"427","anchor","4688","10524861","10524860","",""
"430","quotes","2001","15567009","15567008","",""
"432","import","23865","7933864","7933863","",""
"438","ergonomics","39","7430281","7430280","",""
